metro,chas,dva_chasa,noch,ves,rost,vozrast,razmer,vpopu
Сходненская,2500,5000,20000,60,178,37,3,0
Пролетарская,4000,8000,-,58,175,40,2,1
Мытищи,3000,6000,-,55,172,30,3,0
Братиславская,2000,4000,11000,56,167,37,3,1000
Динамо,7000,12000,-,54,170,25,2,1
Павелецкая,1500,3000,8000,65,170,35,4,1
Печатники,3000,5000,8000,50,160,19,4,1
Павелецкая,1500,3000,8000,65,155,40,3,1000
Мытищи,2500,5000,-,65,173,36,3,0
Марьина Роща,5000,9000,25000,65,164,39,3,0
Юго-Западная,2000,4000,8000,70,165,65,4,0
Мытищи,2500,5000,-,49,179,31,1,0
Медведково,2500,5000,12000,62,168,53,3,0
Мытищи,6000,12000,-,49,161,40,1,1
Таганская,3000,5000,8000,53,168,21,2,1
Медведково,4000,8000,-,50,171,35,1,1
Орехово,3000,5000,8000,55,170,22,2,1
Улица 1905 го1,15000,30000,60000,55,170,28,4,0
Беляево,3000,5000,8000,50,168,18,3,0
Павелецкая,1500,3000,-,62,175,35,3,0
Лермонтовский проспект,4000,6000,15000,45,160,25,1,0
Балашиха,4000,6000,10000,50,165,20,3,1
Лермонтовский проспект,3500,6000,15000,46,155,30,1,0
Петровско-Разумовская,3000,4500,8000,55,165,20,2,1
Красные ворота,10000,20000,50000,30,140,31,2,5000
Люберцы,2000,4000,10000,67,170,30,4,0
Новогиреево,3000,5000,8000,50,165,22,2,0
Печатники,4000,5000,7500,50,162,21,3,2000
Марьино,3000,5000,8000,45,168,20,3,1
Выхино,4000,6000,15000,50,165,21,1,0
Отрадное,3000,5000,8000,50,170,20,3,0
Рязанский проспект,2500,5000,15000,47,167,43,2,0
Алтуфьево,3500,5000,8000,49,171,19,2,0
Долгопрудный,3500,5000,8000,50,169,20,4,0
Улица 1905 го1,3500,5000,8000,50,168,20,2,0
Белорусская,3500,7000,-,64,172,36,3,1
Сходненская,3000,5000,8000,50,170,21,4,1
Королёв,2500,5000,-,58,167,31,3,1
Щелковская,2000,4000,10000,52,165,42,1,1
Марьино,3500,5000,8000,55,160,20,4,0
Новокосино,3000,4500,8000,55,155,20,3,1
Выхино,2500,5000,15000,65,165,41,5,0
ВДНХ,3500,5000,8000,50,165,20,2,1
Таганская,8000,20000,-,70,177,29,5,1
Петровско-Разумовская,2000,4000,10000,48,160,30,2,0
Братиславская,3000,5000,8000,50,168,21,3,0
Домодедовская,3000,4500,7000,50,168,21,3,1
Коломенская,2000,4000,9000,68,174,40,3,1000
Реутов,3000,5000,8000,55,170,21,4,0
Алтуфьево,3500,5000,8000,50,170,21,5,0
Деловой центр,5000,10000,25000,49,152,50,1,3000
Динамо,1500,3000,10000,49,168,23,2,0
Юго-Западная,3000,4500,8000,50,170,20,3,0
Марксистская,3500,5500,8000,55,170,20,3,0
Марксистская,7000,14000,-,55,175,31,2,0
Молодежная,-,8000,-,56,172,25,2,0
Выхино,3500,4500,8000,48,168,19,2,1
Автозаводская,7000,15000,40000,45,160,27,2,0
Щелковская,3500,5000,8000,50,170,24,2,0
Реутов,3500,5000,8000,50,165,20,2,0
Жулебино,3000,6000,10000,55,165,22,4,0
Выхино,3000,5000,8000,45,170,23,3,0
Царицыно,3500,4500,7500,56,172,21,4,1
Алексеевская,2000,4000,10000,48,165,19,3,0
Сходненская,3000,5000,8000,55,170,20,3,1
Щелковская,2000,4000,10000,68,172,37,4,1
Охотный ряд,-,10000,25000,54,167,22,2,0
Беляево,3500,5000,8000,50,158,20,2,0
Печатники,2000,4000,-,68,167,29,4,0
Планерная,2500,5000,12000,50,168,25,1,0
Планерная,2500,5000,12000,50,172,25,1,0
Молодежная,2000,4000,8000,65,185,38,2,0
Борисово,3500,5000,8000,55,169,20,4,0
Люблино,3500,5000,8000,50,170,20,2,0
Люберцы,3000,6000,15000,52,169,23,2,0
Молодежная,3000,5000,8000,50,170,19,2,1
Реутов,3500,4500,8000,55,165,19,4,0
Царицыно,3000,4500,8000,50,172,19,3,1
Братиславская,3500,4500,8000,50,170,20,3,1
Братиславская,3500,6000,10000,55,165,22,3,0
Отрадное,3000,5000,8000,50,165,21,3,1
Проспект Мира,3500,5000,8000,50,167,20,1,0
Кунцевская,30000,50000,100000,53,165,27,2,1
Мытищи,2000,4000,-,54,160,41,1,0
Котельники,3000,5000,8000,56,170,21,3,0
Теплый стан,3000,5000,8000,50,168,19,3,1
Сходненская,2000,4000,10000,68,164,42,4,0
Рязанский проспект,3500,5000,8000,50,165,20,2,1
Академическая,7000,14000,40000,47,168,20,1,0
Щелковская,4000,6000,10000,48,169,20,3,2000
Подольск,4000,7000,15000,57,167,28,3,0
Подольск,2000,4000,-,58,158,46,4,0
Медведково,10000,20000,-,52,171,41,1,1
Мытищи,6000,12000,-,63,172,38,3,1
ВДНХ,3500,5000,9000,60,170,21,3,1
Юго-Западная,3500,5000,9000,50,165,21,3,0
Строгино,2000,4000,12000,50,165,27,1,0
Строгино,2000,4000,12000,60,168,25,3,0
Строгино,4000,8000,24000,60,168,25,3,0
Новоясеневская,2000,4000,-,54,165,19,2,1
ВДНХ,3500,5000,8000,50,170,23,2,0
Бабушкинская,3000,6000,9000,55,167,28,2,0
Печатники,2000,4000,-,64,168,37,3,0
Одинцово,3500,5000,8000,50,170,21,4,1
Петровско-Разумовская,3500,6000,9000,50,170,20,3,0
Люберцы,4000,8000,20000,60,165,24,2,1
Мытищи,9000,18000,-,49,161,39,1,1
Каширская,3500,5000,8000,50,170,20,2,0
Молодежная,2000,4000,10000,50,173,29,1,0
Проспект Вернадского,3000,5000,8000,50,175,20,2,1
Рязанский проспект,-,12000,30000,50,170,23,2,5000
Выхино,5000,10000,25000,48,160,22,2,0
ВДНХ,3000,6000,12000,63,165,45,2,1500
Тушинская,2000,3000,-,100,174,39,4,0
Тульская,5000,10000,-,68,160,47,3,1
Красногорск,5000,8000,25000,58,172,40,5,1
Смоленская,6000,12000,40000,n/a,170,25,3,0
Дмитровская,2000,4000,10000,50,152,34,3,0
Кутузовская,5000,10000,25000,60,165,46,4,1000
Шоссе энтузиастов,4000,7000,15000,45,170,43,2,1
Королёв,2500,5000,15000,n/a,170,37,4,1000
Балашиха,2000,4000,8000,55,165,50,2,0
Пролетарская,4000,8000,20000,44,165,24,1,1
Щукинская,10000,20000,-,55,177,39,3,0
Таганская,8000,16000,50000,55,178,26,5,1
Пролетарская,3000,6000,10000,85,167,44,5,0
Текстильщики,3000,5000,10000,46,160,46,1,1
Алексеевская,7000,-,-,50,170,31,2,1
Борисово,3000,6000,18000,n/a,171,47,2,0
Одинцово,5000,10000,-,50,176,35,1,1
Кузьминки,4000,8000,20000,58,166,34,1,3000
Раменское,4000,8000,-,59,173,32,3,0
Электрозаводская,3000,6000,12000,75,170,43,6,2000
Марксистская,12000,20000,-,59,176,36,5,1
Бауманская,3000,6000,18000,40,150,37,1,5000
Первомайская,2500,5000,-,n/a,167,45,5,0
Варшавская,2500,4000,10000,55,165,59,4,1000
Первомайская,5000,10000,-,70,175,37,3,0
Славянский бульвар,10000,20000,55000,59,170,39,4,0
Белорусская,5000,10000,20000,85,169,43,5,1000
Юго-Западная,4000,8000,20000,60,168,35,6,0
Алексеевская,4000,8000,18000,n/a,170,31,4,0
Пятницкое шоссе,10000,15000,50000,52,170,29,2,0
ВДНХ,7000,12000,35000,55,173,27,3,1
Шоссе энтузиастов,5000,10000,-,78,173,40,3,0
Римская,7000,15000,-,50,170,23,3,5000
Таганская,12000,20000,60000,46,167,28,2,0
Парк Победы,15000,30000,75000,51,170,25,3,1
Люберцы,2500,5000,-,56,160,38,3,0
Беговая,6000,12000,40000,52,168,34,2,0
Химки,5000,10000,25000,46,160,30,2,0
Беговая,3000,6000,16000,51,158,41,2,1
Мытищи,3000,-,15000,180,173,37,8,0
Одинцово,4000,5000,10000,57,165,25,2,1
Мытищи,7000,14000,50000,68,178,27,3,1
Мытищи,13000,20000,50000,60,175,29,2,1
Речной вокзал,2000,4000,8000,96,172,42,5,1
Строгино,10000,15000,50000,50,170,29,1,0
Сокольники,2500,5000,15000,100,168,50,4,1000
Октябрьское поле,5000,10000,25000,63,155,27,5,1
Проспект Мира,4000,8000,-,60,165,33,2,0
Площадь Ильича,5000,10000,-,54,170,40,3,0
Войковская,8000,15000,60000,48,161,29,2,1
Сходненская,2500,5000,-,80,165,35,3,0
Улица Скобелевская,4000,7000,20000,57,161,27,3,0
Смоленская,12000,24000,100000,55,175,25,4,0
Молодежная,2500,5000,12000,61,165,52,4,1500
Медведково,2000,4000,10000,55,169,38,3,1000
Кузьминки,4000,8000,18000,48,160,25,2,0
Баррикадная,6000,13000,30000,45,165,21,2,0
Люберцы,3000,5000,-,63,163,34,4,0
Славянский бульвар,3500,5000,8000,57,150,20,3,0
Мытищи,8000,10000,25000,50,175,34,3,1
Спортивная,3000,6000,-,65,170,54,3,0
Ботанический сад,6000,12000,30000,80,160,42,5,3000
Кунцевская,5000,10000,-,n/a,176,35,8,5000
Подольск,3000,6000,20000,71,167,35,5,2000
Новогиреево,4000,8000,25000,54,170,36,3,0
Профсоюзная,6000,12000,-,46,168,21,1,0
Выхино,4000,6000,25000,48,165,26,3,0
Новогиреево,3000,4000,8000,49,170,20,3,1
Медведково,10000,15000,40000,57,168,37,3,1
Белорусская,6000,12000,30000,51,170,28,2,0
Войковская,6000,10000,-,74,180,40,3,0
Академическая,3000,-,-,n/a,170,24,2,0
Люблино,3000,5000,8000,55,168,19,2,0
Алтуфьево,7000,14000,40000,65,173,27,3,0
Киевская,6000,12000,-,56,176,34,4,5000
Рязанский проспект,2500,5000,15000,55,165,40,2,0
Химки,5000,10000,-,59,178,31,2,5000
Белорусская,5000,10000,25000,50,172,45,5,1
Химки,3000,6000,25000,55,170,28,3,0
Академическая,3000,-,-,n/a,165,25,3,0
Ленинский проспект,3500,7000,15000,55,165,35,2,0
Красносельская,6000,12000,50000,52,170,34,2,0
Мытищи,3000,6000,15000,78,170,40,4,0
Рязанский проспект,3000,5000,7000,50,170,25,3,1
Орехово,3000,5000,15000,45,168,29,1,0
Кунцевская,2500,5000,12000,61,165,49,4,1500
Шаболовская,5000,12000,45000,73,176,51,6,2000
Королёв,3000,6000,12000,62,165,35,3,0
Арбатская,8000,16000,40000,47,167,26,3,0
Деловой центр,15000,25000,-,56,176,34,4,1
Академическая,3000,-,-,n/a,168,24,2,0
Смоленская,8000,16000,40000,50,170,23,2,0
Киевская,10000,20000,40000,52,178,22,2,0
Киевская,8000,16000,40000,50,170,23,2,0
Дубровка,2000,4000,-,50,160,30,2,1000
Киевская,16000,32000,80000,50,165,30,2,1
Молодежная,7000,14000,-,48,165,23,2,10000
Сходненская,5000,10000,60000,65,165,32,2,1
Академическая,6000,12000,35000,58,170,30,4,3000
Медведково,1500,2000,-,55,168,39,3,0
Бауманская,3000,5000,-,n/a,167,42,2,0
Одинцово,3000,4500,8000,50,170,20,3,0
Красногорск,5000,10000,-,60,170,33,3,1
Медведково,3000,4000,8000,58,160,39,4,1
Пролетарская,1500,3000,9000,69,156,24,3,0
Римская,5000,10000,-,63,176,38,2,0
Водный стадион,3500,8000,-,55,173,30,2,0
Люберцы,4000,9000,-,69,167,32,5,0
Пролетарская,4000,7000,1500,n/a,165,38,7,0
Люблино,2500,5000,15000,72,165,47,5,0
Люберцы,3500,5000,9000,47,163,20,2,1
ВДНХ,3000,5000,8000,46,162,19,3,1
Митино,3000,4500,7000,54,171,20,3,1
Медведково,3500,5000,8000,45,165,21,3,0
Щёлково,3000,6000,15000,50,150,43,3,1
Балашиха,3000,6000,-,83,167,47,3,0
Новокосино,3500,5000,8000,48,160,21,3,1
Шипиловская,1500,3000,10000,52,165,30,3,0
Международная,6000,-,45000,56,170,31,3,0
Новые Черемушки,5000,10000,-,60,173,31,3,5000
Отрадное,4000,8000,-,50,170,32,2,0
Реутов,3000,4500,7500,55,165,20,2,0
Печатники,3500,4500,8000,50,170,20,3,0
Молодежная,2500,5000,-,75,167,52,7,0
Улица Ак. Янгеля,4000,8000,18000,49,165,22,1,0
Дубровка,5000,10000,25000,55,170,25,2,1
Новогиреево,3000,4500,8000,55,165,20,2,0
Кузьминки,3000,6000,-,70,175,45,4,1
Щелковская,8000,10000,30000,56,172,21,3,3000
Чертановская,5000,10000,30000,65,175,23,3,0
Арбатская,10000,20000,-,48,170,19,2,1
Новогиреево,4500,9000,21000,48,163,35,2,0
Профсоюзная,3000,-,-,n/a,168,27,2,0
Подольск,3500,7000,25000,54,163,29,2,0
Ленинский проспект,10000,15000,25000,65,172,33,6,1
Ленинский проспект,10000,15000,25000,65,170,39,7,1
Домодедовская,5100,8800,-,46,156,27,1,1
Павелецкая,8000,16000,30000,51,170,24,3,0
Чистые пруды,15000,25000,100000,54,170,28,4,1
Таганская,20000,40000,60000,52,175,27,2,0
Люберцы,2500,5000,15000,67,160,35,4,2000
Кузнецкий мост,8000,16000,40000,48,163,29,3,1
Юго-Западная,3500,5000,8000,57,165,20,3,0
Павелецкая,6000,12000,30000,50,169,24,3,0
Курская,3500,4500,7000,50,170,21,3,0
Беговая,10000,18000,60000,44,167,24,2,0
Реутов,3000,6000,9000,54,168,21,2,0
Марьино,3500,5000,8000,50,170,20,3,0
Ленинский проспект,3500,7000,15000,55,170,27,2,0
Люблино,10000,20000,-,59,172,35,2,0
Алтуфьево,4000,7000,-,67,165,40,3,0
Кузьминки,3500,4500,8000,50,168,20,3,0
Кантемировская,3000,5000,10000,58,175,27,3,0
Таганская,6000,12000,50000,58,177,35,2,0
Молодежная,2500,5000,15000,59,167,37,3,1
Ленинский проспект,10000,20000,45000,57,175,21,4,0
Мытищи,3000,6000,25000,72,170,26,4,2000
Кутузовская,6000,12000,-,50,168,22,1,1
Алексеевская,5000,10000,25000,57,170,28,3,0
Профсоюзная,3000,-,-,n/a,158,25,2,0
Баррикадная,5000,10000,25000,46,160,22,2,0
Белорусская,12000,24000,60000,50,172,40,5,1
Щелковская,4000,6000,10000,48,170,20,3,2000
Люберцы,3500,5000,8000,50,175,20,3,1
Ленинский проспект,10000,20000,45000,55,173,19,2,0
Проспект Вернадского,5000,10000,15000,50,167,33,2,0
Подольск,4500,9000,20000,55,170,28,2,0
Ленинский проспект,10000,20000,45000,53,176,19,1,0
Полежаевская,6000,12000,35000,45,164,18,2,0
Павелецкая,2000,4000,10000,58,165,40,3,1
Марьино,5000,10000,25000,50,172,28,2,0
Новокосино,4000,8000,-,55,165,21,2,0
Бабушкинская,3000,6000,15000,64,170,32,2,1
Профсоюзная,3000,-,-,n/a,187,28,2,1
Бульвар Дмитрия Донского,3000,5000,8000,52,170,20,3,0
Академическая,3000,-,-,n/a,160,24,2,0
Щелковская,4000,6000,10000,50,170,21,3,1
Новогиреево,3500,5000,8000,50,170,20,3,1
Улица 1905 го1,6000,12000,30000,52,160,25,2,1
Одинцово,3000,6000,15000,58,167,29,2,0
Багратионовская,16000,32000,80000,52,171,28,2,1
Войковская,3000,6000,15000,50,165,21,1,0
Щукинская,1500,3000,9000,69,168,21,3,0
,30000,-,-,n/a,,65,3,0
Бабушкинская,2500,5000,16000,70,175,29,3,0
Воробьевы горы,12000,20000,50000,50,171,21,2,5000
Пражская,6000,10000,35000,53,175,30,3,5000
Коломенская,1500,3000,9000,60,155,23,2,1
Алтуфьево,3000,6000,18000,80,169,39,7,1000
Тульская,10000,20000,-,54,170,25,2,1
Академическая,3000,6000,15000,68,175,35,2,0
Кантемировская,4000,8000,20000,58,174,33,1,0
Каховская,6000,12000,30000,55,175,18,1,0
Новогиреево,3000,6000,-,63,167,35,3,0
Волжская,1500,3000,9000,60,170,31,5,0
Таганская,7000,13000,32000,46,160,18,1,0
Балашиха,4000,7000,20000,58,167,27,2,0
Алексеевская,2000,4000,10000,80,165,29,4,2000
Славянский бульвар,8000,16000,40000,49,165,34,2,0
Марьино,5000,10000,25000,50,167,21,2,0
Дмитровская,3000,6000,14500,65,173,37,3,2000
Ясенево,1500,3000,9000,n/a,160,19,6,1
Медведково,3000,6000,-,50,165,37,3,1
Ясенево,1500,3000,9000,50,170,18,1,1
Арбатская,10000,20000,-,47,172,19,3,1
Отрадное,2500,5000,-,n/a,175,26,4,2000
Белорусская,10000,20000,60000,48,168,26,3,5000
Отрадное,2000,4000,10000,54,156,35,2,0
Дубровка,1500,3000,9000,59,157,22,3,0
Улица 1905 го1,-,20000,50000,49,175,21,2,1
Алексеевская,5000,10000,30000,75,180,41,4,1
Белорусская,3500,-,-,57,168,36,3,0
Краснопресненская,10000,20000,70000,60,175,38,4,1
Алексеевская,-,7000,17000,54,165,39,4,0
Улица 1905 го1,7000,14000,-,57,170,35,2,1
Баррикадная,2500,5000,-,60,160,50,2,1
Шоссе энтузиастов,3000,5000,-,63,167,42,3,1000
Щёлково,3500,7000,15000,55,168,43,2,0
Водный стадион,4000,8000,25000,57,175,30,3,1
Кузьминки,5000,9000,20000,56,155,30,3,5000
Октябрьское поле,3000,7000,-,70,175,40,3,1
Жуковский,4000,8000,-,58,173,32,3,0
Войковская,2500,5000,10000,85,163,45,4,1500
Водный стадион,10000,20000,-,65,185,35,3,1
Кузьминки,2500,-,-,65,174,42,3,0
Академическая,5000,10000,-,45,165,36,2,5000
Озёры,2500,5000,10000,60,170,35,2,0
Строгино,4000,8000,15000,63,175,45,4,0
Пионерская,5000,9000,-,78,171,38,3,0
Фрунзенская,15000,30000,-,58,177,38,2,0
Чертановская,4500,6500,13500,56,162,27,2,2500
Дзержинский,4000,7000,-,50,170,37,3,0
Химки,-,7000,-,65,170,30,3,0
Площадь Ильича,6000,12000,-,61,178,29,3,5000
Улица 1905 го1,7000,14000,50000,56,170,38,2,1
Крылатское,4000,8000,-,53,167,44,4,0
Отрадное,3000,6000,16000,52,168,31,3,0
Долгопрудный,3500,7000,25000,54,164,41,1,3000
Красносельская,5000,6000,14000,70,178,33,3,0
Коломенская,5000,10000,-,52,166,35,2,0
Пролетарская,15000,30000,70000,48,171,30,3,1
Киевская,20000,35000,100000,60,180,24,3,10000
Отрадное,-,5000,8000,99,165,39,5,0
Красносельская,2500,5000,12000,65,165,50,4,1000
Одинцово,2500,5000,12000,70,173,39,2,1
Новогиреево,4000,8000,30000,54,170,35,3,0
Кутузовская,10000,20000,-,55,180,40,3,5000
Выхино,4000,8000,-,50,170,30,3,0
Маяковская,30000,50000,130000,52,165,34,2,10000
Химки,3000,6000,12000,57,173,37,4,1
Сокольники,8000,16000,50000,57,168,26,3,0
Рязанский проспект,5000,10000,30000,55,165,29,2,5000
Шоссе энтузиастов,4000,8000,30000,54,170,35,3,0
Сходненская,4000,8000,25000,55,168,30,3,0
Бауманская,3000,6000,18000,68,175,44,4,0
Бауманская,3000,6000,15000,83,175,38,4,0
Серпуховская,6000,12000,25000,48,175,18,1,0
Люблино,2500,5000,15000,52,172,24,3,0
Филевский парк,16000,32000,80000,52,171,28,2,5000
Выставочная,16000,32000,-,50,167,27,1,5000
Кузьминки,1500,3000,-,66,170,41,5,2000
Домодедовская,6000,8000,12000,47,167,19,2,3000
Семеновская,5000,10000,20000,58,169,34,3,0
Беговая,12000,20000,45000,47,168,24,4,1
Проспект Вернадского,3000,6000,15000,50,170,22,2,0
Планерная,2500,5000,15000,75,175,39,3,1
ВДНХ,7000,14000,40000,54,170,26,3,0
Академическая,8000,16000,45000,45,165,26,3,1
Жулебино,4000,8000,20000,53,165,21,4,3000
Киевская,10000,15000,40000,55,168,25,3,0
Каховская,2500,5000,10000,70,168,39,4,1500
Митино,2500,5000,15000,57,170,41,3,0
Проспект Вернадского,4000,8000,35000,55,157,19,4,0
Подольск,3000,5000,10000,80,167,25,2,1000
Новогиреево,3000,6000,-,56,172,35,3,0
Марьино,1500,3000,9000,82,169,30,2,0
Улица 1905 го1,6000,12000,40000,63,165,33,4,4000
Кутузовская,20000,40000,100000,47,170,22,3,0
Белорусская,15000,20000,50000,42,160,20,2,0
Сходненская,2500,5000,-,54,168,25,2,0
Таганская,5000,-,-,58,165,32,4,1
Белорусская,6000,12000,-,54,172,23,3,0
Митино,3500,7000,20000,54,160,35,2,0
Баррикадная,10000,20000,45000,56,176,24,3,1
Кутузовская,20000,40000,100000,45,170,22,3,0
Академическая,3500,-,-,60,167,18,2,0
Отрадное,2000,4000,8000,55,167,25,3,0
Борисово,4000,8000,21000,48,165,19,2,0
Арбатская,10000,20000,50000,48,167,26,3,0
Арбатская,10000,20000,50000,46,173,24,2,0
Проспект Мира,10000,20000,-,70,170,37,2,0
Арбатская,10000,20000,-,45,165,23,3,5000
Динамо,6000,10000,35000,52,165,47,4,2000
Коломенская,3500,7000,30000,63,160,40,3,2000
Ленинский проспект,8000,15000,50000,58,175,40,2,0
Славянский бульвар,4000,10000,35000,76,172,54,7,0
Тульская,6500,13000,-,52,172,28,3,4000
Новогиреево,3500,-,-,60,170,45,3,0
Фили,6000,12000,40000,64,175,34,3,3000
Таганская,1500,3000,9000,65,165,33,2,1
Сходненская,2000,4000,12000,65,168,37,4,2000
Киевская,10000,20000,45000,42,158,35,1,1
ВДНХ,3000,6000,15000,60,160,41,4,0
Пролетарская,3000,6000,-,62,165,36,2,0
Автозаводская,6000,10000,25000,50,165,40,2,0
Университет,10000,15000,-,n/a,168,30,4,1
Арбатская,-,10000,-,55,170,21,3,0
Римская,7000,15000,-,48,165,28,2,0
Улица 1905 го1,6000,12000,-,49,164,19,3,1
Белорусская,12000,25000,-,45,160,22,2,1
Беговая,7000,14000,-,64,174,30,2,1
Щелковская,5000,10000,35000,57,175,41,2,0
Киевская,15000,28000,50000,67,170,35,4,0
Рижская,6000,12000,30000,55,170,25,3,1
Фрунзенская,3000,6000,30000,60,166,42,3,2000
Пролетарская,1500,3000,9000,51,168,38,4,1
Арбатская,10000,20000,80000,50,168,25,2,0
Проспект Мира,6000,12000,30000,60,173,25,3,1
Университет,4000,8000,-,60,165,39,3,1000
Сходненская,1500,3000,9000,42,160,28,1,0
Щелковская,3000,-,-,58,165,33,3,0
Сухаревская,6000,12000,30000,n/a,175,25,3,1
Киевская,10000,-,-,50,172,20,2,0
Арбатская,5000,10000,25000,54,175,27,2,5000
Проспект Мира,6000,12000,30000,n/a,167,24,3,1
Таганская,1500,3000,9000,76,165,35,2,0
Щукинская,1500,3000,9000,77,168,40,4,1
Молодежная,2500,5000,15000,50,170,26,1,4000
Славянский бульвар,7000,14000,30000,53,160,21,3,0
Алма-Атинская,3000,6000,12000,57,172,22,2,3000
Алма-Атинская,3000,5000,12000,65,165,23,5,0
Университет,5000,10000,-,88,180,40,3,0
Павелецкая,7000,14000,35000,52,168,21,2,0
Сухаревская,7000,14000,30000,60,175,24,2,5000
Алтуфьево,5000,10000,30000,51,165,24,2,1
Академическая,10000,15000,-,50,170,29,2,0
Сухаревская,7000,14000,30000,60,170,25,3,1
Домодедовская,4000,8000,18000,50,170,25,2,0
Бабушкинская,2000,4000,8000,48,170,22,2,0
Алтуфьево,-,6000,15000,47,168,22,2,0
Новые Черемушки,2000,4000,8000,68,162,22,3,0
Мытищи,6000,12000,40000,56,175,19,3,0
Щукинская,1500,3000,9000,60,155,30,2,0
Коньково,3000,6000,12000,75,170,35,3,1
Коньково,2000,4000,8000,64,165,30,3,1
Профсоюзная,6000,12000,30000,52,168,18,2,0
Домодедовская,2000,4000,8000,60,170,45,3,0
Люблино,1500,3000,9000,44,155,40,1,1
Улица 1905 го1,4000,8000,-,57,160,37,2,1
Кузнецкий мост,15000,25000,80000,56,165,30,4,10000
Щёлково,3000,6000,10000,55,168,20,2,0
Домодедовская,5000,7000,11000,49,168,19,2,2000
Люберцы,4000,8000,20000,59,159,27,2,1
Бабушкинская,10000,15000,40000,54,172,27,3,0
Раменки,-,5000,12000,95,165,29,5,2000
Ломоносовский проспект,5000,10000,25000,45,160,18,1,0
Рязанский проспект,2000,4000,-,78,165,48,3,0
Ногинск,5000,10000,30000,50,165,23,2,0
Белорусская,10000,20000,50000,52,173,25,2,0
Беляево,4000,8000,20000,52,172,28,2,0
Белорусская,12000,22000,60000,52,174,20,2,0
Борисово,3000,6000,15000,69,168,56,6,0
Сходненская,3000,-,-,53,175,49,2,0
Киевская,15000,30000,90000,56,175,34,3,5000
Подольск,2500,5000,-,60,176,39,2,0
Бабушкинская,2000,4000,-,81,169,36,3,1500
Домодедовская,2500,5000,12000,90,165,54,5,0
Братиславская,5000,10000,30000,85,180,35,4,3000
Славянский бульвар,10000,15000,50000,55,173,43,3,1
Ботанический сад,5000,9000,-,53,167,30,2,0
Улица 1905 го1,3000,6000,-,74,170,40,5,1000
Ботанический сад,5000,9000,20000,55,167,39,1,2000
Кунцевская,5000,10000,20000,75,170,47,3,0
Кунцевская,2500,5000,15000,65,165,46,6,0
Кунцевская,2500,5000,15000,75,170,47,3,0
Марьино,3000,6000,20000,64,170,39,4,2000
Домодедовская,3000,6000,-,63,170,38,3,0
Марьина Роща,8000,16000,200000,56,172,42,3,1
Пролетарская,5000,10000,-,45,160,33,3,1
Текстильщики,5000,10000,-,60,174,27,2,0
Белорусская,15000,30000,-,58,172,28,10,1
,15000,30000,-,n/a,,25,10,1
Бабушкинская,2500,5000,10000,85,170,39,3,2500
Смоленская,12000,20000,60000,50,170,23,1,0
Алексеевская,6000,12000,-,48,163,35,1,3000
Бауманская,4000,8000,-,65,170,45,3,0
Академическая,20000,40000,-,47,168,21,2,0
Кутузовская,6000,12000,30000,53,170,25,3,1
Таганская,10000,20000,60000,57,177,25,2,0
Киевская,12000,24000,60000,56,172,26,3,5000
Щелковская,6000,12000,30000,54,163,30,3,5000
Коломенская,3000,6000,20000,90,165,36,5,3000
Кутузовская,6000,12000,30000,58,170,29,4,1
Бабушкинская,4000,6000,-,60,170,40,3,1
Киевская,12000,24000,60000,57,170,25,4,1
Бабушкинская,5000,10000,-,53,170,25,4,0
Свиблово,15000,30000,-,54,169,25,4,0
Кунцевская,5000,10000,25000,45,162,20,1,0
Борисово,3000,6000,-,52,165,38,2,0
Речной вокзал,3700,7000,-,50,165,36,2,1
Парк культуры,10000,20000,-,58,170,40,5,10000
,7000,14000,-,47,155,20,2,0
Коломенская,6500,-,-,72,176,39,4,0
Люберцы,3000,5000,15000,59,165,33,4,3000
Люберцы,3000,6000,15000,55,167,34,2,3000
Беговая,20000,35000,110000,49,161,21,3,1
Беговая,3000,-,-,n/a,162,24,3,1
Раменское,3000,6000,15000,58,170,26,4,0
Рязанский проспект,10000,20000,50000,54,170,25,2,5000
Славянский бульвар,7000,14000,40000,n/a,172,24,2,0
Строгино,5000,10000,-,55,170,26,3,0
Подольск,3000,6000,15000,56,166,22,2,0
Ленинский проспект,5000,10000,45000,50,175,20,1,10000
Октябрьское поле,6000,12000,25000,55,165,35,2,3000
Улица Скобелевская,-,7000,15000,65,165,29,4,0
Коломенская,2000,5000,15000,89,164,46,8,1
Проспект Вернадского,2000,6000,12000,75,160,53,5,0
Октябрьская,6000,10000,-,52,165,30,3,0
Бульвар Дмитрия Донского,4000,6000,12000,55,170,24,3,1
Кутузовская,10000,20000,50000,53,167,30,4,10000
Фрунзенская,7000,14000,-,58,170,38,4,0
Мытищи,3000,10000,20000,69,165,42,4,0
Театральная,-,11000,26000,55,171,29,1,0
Новогиреево,3000,6000,10000,56,160,22,2,0
Видное,3500,7000,-,65,165,34,2,0
Новокосино,2500,5000,15000,60,165,27,3,0
Коломенская,3000,6000,20000,90,162,37,5,2000
Люблино,4500,8000,-,68,166,35,3,1
Отрадное,3500,7000,-,58,165,25,2,0
Сокол,5000,12000,30000,70,175,42,8,0
Юго-Западная,-,5000,8000,53,170,20,3,0
Новогиреево,6000,8000,12000,55,156,18,2,3000
Тургеневская,5000,10000,25000,77,166,23,3,0
Проспект Мира,4000,8000,35000,67,177,33,3,0
Университет,15000,30000,100000,68,178,26,5,10000
